External_Id__c,Owner.External_Id__c,Status,FirstName,LastName,CreatedDate__c,ConvertedDate__c,Title,Salutation,LeadSource,Industry
W_Lead.1,W_User.17,Archived,Harry,Washington,2017-01-06 22:22:21,2017-06-27 22:22:21,VP Quality Control,Mrs,Website,Healthcare & Life Sciences
W_Lead.2,W_User.15,Submitted,Richard,Stanley,2016-07-03 03:25:23,2016-12-06 03:25:23,Account Representative II,Honorable,Website,Machinery
W_Lead.3,W_User.10,Qualified - Convert,Arthur,Sims,2016-08-18 17:46:49,2016-12-05 17:46:49,Design Engineer,Rev,Website,Transportation
W_Lead.4,W_User.8,Draft,Billy,Nguyen,2016-10-31 04:42:34,2016-12-02 04:42:34,Assistant Media Planner,Rev,Referral,Chemicals
W_Lead.5,W_User.9,Working,Lawrence,Ortiz,2016-09-30 11:30:33,2016-12-03 11:30:33,Staff Scientist,Rev,Inbound Call,Energy
W_Lead.6,W_User.18,Qualified - Convert,Christopher,Stevens,2017-01-28 18:57:56,2017-08-20 18:57:56,Registered Nurse,Mr,Marketing Event,Agriculture
W_Lead.7,W_User.19,Pending,Scott,Ford,2016-11-15 19:38:31,2016-12-03 19:38:31,Analog Circuit Design manager,Ms,Inbound Call,Transportation
W_Lead.8,W_User.7,Pending,Henry,Nichols,2016-07-05 16:16:12,2016-10-28 16:16:12,Nuclear Power Engineer,Dr,Cold Call,Biotechnology
W_Lead.9,W_User.15,Pending,Willie,Ward,2016-10-03 09:20:01,2017-03-02 09:20:01,Structural Analysis Engineer,Dr,Community,Consulting
W_Lead.10,W_User.15,Pending,Jason,Franklin,2016-08-10 07:49:50,2016-10-11 07:49:50,Assistant Media Planner,Mrs,Marketing Event,Food & Beverage
W_Lead.11,W_User.10,Submitted,Joseph,Harris,2016-12-13 13:44:48,2017-02-20 13:44:48,Staff Scientist,Rev,Data.com,Hospitality
W_Lead.12,W_User.6,Working,Raymond,Knight,2016-12-14 23:07:39,2017-03-26 23:07:39,Help Desk Technician,Honorable,Marketing Event,Biotechnology
W_Lead.13,W_User.11,Open,Brandon,Franklin,2016-07-13 20:09:30,2017-01-14 20:09:30,Design Engineer,Honorable,Cold Call,Apparel
W_Lead.14,W_User.12,Draft,Wayne,Foster,2016-07-03 13:16:42,2016-10-23 13:16:42,Software Consultant,Dr,Social Media,Insurance
W_Lead.15,W_User.18,Archived,Douglas,Chavez,2016-11-21 20:27:47,2017-06-16 20:27:47,Social Worker,Dr,Partner,Apparel
W_Lead.16,W_User.17,Qualified - Convert,Steve,Torres,2016-08-20 20:58:19,2016-10-25 20:58:19,Assistant Professor,Mrs,Cold Call,Agriculture
W_Lead.17,W_User.12,Rejected,Stephen,Bishop,2017-01-16 05:03:00,2017-07-16 05:03:00,Senior Financial Analyst,Dr,Inbound Call,Food & Beverage
W_Lead.18,W_User.6,Submitted,Jack,Powell,2016-07-25 21:33:47,2017-01-02 21:33:47,Administrative Assistant I,Honorable,Data.com,Machinery
W_Lead.19,W_User.3,Submitted,Raymond,Pierce,2016-12-02 04:14:08,2017-03-27 04:14:08,Senior Editor,Mrs,Community,Engineering
W_Lead.20,W_User.17,Qualified - Convert,Kenneth,Adams,2016-12-27 18:38:45,2017-02-23 18:38:45,Professor,Rev,Referral,Finance
W_Lead.21,W_User.19,Pending,Randy,Welch,2016-09-11 11:35:43,2016-10-29 11:35:43,Professor,Mrs,Cold Call,Energy
W_Lead.22,W_User.17,Submitted,Juan,Gonzales,2016-08-31 04:28:24,2017-03-05 04:28:24,Sales Associate,Rev,Partner,Hospitality
W_Lead.23,W_User.16,Approved,Walter,Anderson,2016-07-24 23:46:26,2016-09-05 23:46:26,Senior Financial Analyst,Honorable,Referral,Communications
