ConvertedOpportunity.External_Id__c,LeadSource,ConvertedAccount.External_Id__c,Owner.External_Id__c,ConvertedDate__c,CreatedDate__c,External_Id__c,Status,IsConverted,ConvertedContact.External_Id__c,FirstName,LastName,Company,Industry,State,IsUnreadByOwner,Rating
W_Opportunity.907,Reseller,W_Account.25,W_Sales_User.10,2017-01-24,2016-10-20 00:00:00,W_Lead.1,Qualified - Convert,true,W_Contact.25,Tiffany,Miller,Scream Design Inc,Technology,NE,false,Warm
,Reseller,,W_Sales_User.1,,2015-07-10 00:00:00,W_Lead.2,Working,false,,Marvin,Diaz,,,,false,Cool
,Reseller,,W_Sales_User.8,,2015-12-12 00:00:00,W_Lead.3,Draft,false,,Linda,Kennedy,,,,false,Cool
,Reseller,,W_Sales_User.7,,2016-03-21 00:00:00,W_Lead.4,Working,false,,Brandi,Moreno,,,,true,Hot
,Reseller,,W_Sales_User.8,,2017-03-01 00:00:00,W_Lead.5,Open,false,,James,Stephenson,,,,true,Hot
W_Opportunity.1723,Fields Sales,W_Account.65,W_Sales_User.8,2017-08-14,2017-05-15 00:00:00,W_Lead.6,Qualified - Convert,true,W_Contact.65,Charles,Pierce,Music Today,Manufacturing,ND,false,Hot
,Reseller,,W_Sales_User.9,,2015-09-20 00:00:00,W_Lead.7,Archived,false,,Stefanie,Hayes,,,,true,Warm
,Reseller,,W_Sales_User.4,,2015-09-18 00:00:00,W_Lead.8,New,false,,William,Avery,,,,true,Hot
,Other,,W_Sales_User.5,,2015-09-29 00:00:00,W_Lead.9,Working,false,,Melissa,Richard,,,,false,Hot
,Reseller,,W_Sales_User.10,,2017-04-01 00:00:00,W_Lead.10,New,false,,Kelly,Carter,,,,true,Warm
,Reseller,,W_Sales_User.1,,2016-12-19 00:00:00,W_Lead.11,Contacted,false,,Amanda,Alexander,,,,true,Cool
,Other,,W_Sales_User.2,,2015-10-23 00:00:00,W_Lead.12,Open,false,,Eric,Lopez,,,,false,Hot
,Other,,W_Sales_User.6,,2016-10-16 00:00:00,W_Lead.13,Open,false,,Valerie,Choi,,,,true,Warm
,Reseller,,W_Sales_User.4,,2015-12-30 00:00:00,W_Lead.14,Approved,false,,Bradley,Smith,,,,true,Cool
,Other,,W_Sales_User.5,,2015-06-14 00:00:00,W_Lead.15,Pending,false,,Chad,Perkins,,,,false,Cool
,Fields Sales,,W_Sales_User.7,,2017-02-16 00:00:00,W_Lead.16,Submitted,false,,Richard,Martin,,,,true,Cool
,Reseller,,W_Sales_User.5,,2015-10-18 00:00:00,W_Lead.17,Pending,false,,Mary,Vaughan,,,,true,Hot
,Fields Sales,,W_Sales_User.9,,2016-02-24 00:00:00,W_Lead.18,Working,false,,Jacob,Moore,,,,true,Warm
,Fields Sales,,W_Sales_User.4,,2016-02-03 00:00:00,W_Lead.19,Working,false,,Kyle,Fox,,,,false,Warm
,Reseller,,W_Sales_User.2,,2015-07-26 00:00:00,W_Lead.20,Open,false,,Jennifer,Smith,,,,false,Warm
