QuotaAmount,StartDate,OwnerName,Username
100000,2017-01-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-02-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-03-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-04-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-05-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-06-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-07-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-08-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-09-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-10-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-11-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-12-01,Dylan Thom,dthom@servicewavesdo.za
100000,2017-01-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-02-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-03-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-04-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-05-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-06-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-07-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-08-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-09-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-10-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-11-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-12-01,Kasey Central,kcentral.hmulq0endy3d@servicewavesdo.za
100000,2017-01-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-02-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-03-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-04-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-05-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-06-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-07-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-08-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-09-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-10-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-11-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-12-01,Ely East,eeast1.y6hczgn5cme8@servicewavesdo.za
100000,2017-01-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-02-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-03-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-04-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-05-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-06-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-07-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-08-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-09-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-10-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-11-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-12-01,Wendy West,wwest.yarvt0y2cdu7@servicewavesdo.za
100000,2017-01-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-02-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-03-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-04-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-05-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-06-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-07-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-08-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-09-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-10-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-11-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-12-01,Ricky East,reast.e4wivbing0iy@servicewavesdo.za
100000,2017-01-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-02-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-03-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-04-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-05-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-06-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-07-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-08-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-09-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-10-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-11-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-12-01,Cindy Central,ccentral.jlhcp8evslvv@servicewavesdo.za
100000,2017-01-01,Bill West,bwest.jrhwv7qdx048@servicewavesdo.za
100000,2017-02-01,Bill West,bwest.jrhwv7qdx048@servicewavesdo.za
100000,2017-03-01,Bill West,bwest.jrhwv7qdx048@servicewavesdo.za
100000,2017-04-01,Bill West,bwest.jrhwv7qdx048@servicewavesdo.za
100000,2017-05-01,Bill West,bwest.jrhwv7qdx048@servicewavesdo.za
100000,2017-06-01,Bill West,bwest.jrhwv7qdx048@servicewavesdo.za
100000,2017-07-01,Bill West,bwest.jrhwv7qdx048@servicewavesdo.za
100000,2017-08-01,Bill West,bwest.jrhwv7qdx048@servicewavesdo.za
