External__Id__c,Owner.External_Id__c,Account.External_Id__c,Contact.External_Id__c,CreatedDate__c,ClosedDate__c,Channel,Tier,Product_Family_KB__c,Priority,SLA,Reason,Type_of_Support__c,CSAT__c,Status,First_Contact_Close__c,Time_Open__c,Team__c,close_date_offset,account_case_ct,Offer_Voucher__c,Send_FieldService__c,IsEscalated
W_Case.1,W_Services_User.10,W_Account.4,W_Contact.4,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 3,Cables,Low,Compliant,Item Damaged,Silver,62.01595359,Closed,True,48,Central Sales,1,1,False,True,true
W_Case.2,W_Services_User.15,W_Account.6,W_Contact.6,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Cameras,High,Compliant,Late Delivery,Silver,72.83538796,Closed,False,24,East Sales,1,7,True,True,false
W_Case.3,W_Services_User.14,W_Account.6,W_Contact.6,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 3,Cameras,Low,Compliant,Item Damaged,Silver,68.96301668,Closed,True,24,East Sales,1,7,True,True,true
W_Case.4,W_Services_User.3,W_Account.11,W_Contact.11,2017-04-19 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Cell Phones,Low,Compliant,Hardware Question,Basic,64.49238579,Closed,False,12,West Sales,1,1,True,False,true
W_Case.5,W_Services_User.13,W_Account.12,W_Contact.12,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 3,Cell Phones,Low,Compliant,Late Delivery,Basic,64.87309645,Closed,True,48,East Sales,1,1,False,False,true
W_Case.6,W_Services_User.6,W_Account.21,W_Contact.21,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 3,Computers,Low,Compliant,Hardware Question,Platinum,72.20449601,Closed,False,48,Central Sales,1,1,False,False,true
W_Case.7,W_Services_User.18,W_Account.22,W_Contact.22,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,DVD Players,High,Compliant,Item Damaged,Silver,62.1319797,Closed,True,36,South Sales,1,15,True,False,false
W_Case.8,W_Services_User.8,W_Account.22,W_Contact.22,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Headphones,High,Compliant,Hardware Question,Silver,64.97461929,Closed,False,48,Central Sales,1,15,False,False,false
W_Case.9,W_Services_User.8,W_Account.22,W_Contact.22,2017-01-13 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Headphones,High,Violation,Late Delivery,Silver,68.64974619,Closed,True,108,Central Sales,1,15,False,False,false
W_Case.10,W_Services_User.9,W_Account.22,W_Contact.22,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Headphones,High,Compliant,Late Delivery,Silver,67.60406091,Closed,False,48,Central Sales,1,15,True,False,false
W_Case.11,W_Services_User.11,W_Account.22,W_Contact.22,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Headphones,Medium,Compliant,Hardware Question,Silver,61.75634518,Closed,True,24,East Sales,1,15,False,True,true
W_Case.12,W_Services_User.13,W_Account.23,W_Contact.23,2017-02-18 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Headphones,Medium,Violation,Item Damaged,Silver,63.93908629,Closed,False,72,East Sales,1,2,False,True,true
W_Case.13,W_Services_User.8,W_Account.24,W_Contact.24,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 3,Headphones,Low,Compliant,Late Delivery,Silver,64.58883249,Closed,False,48,Central Sales,1,2,False,True,true
W_Case.14,W_Services_User.11,W_Account.30,W_Contact.30,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Home Audio,Low,Compliant,Hardware Question,Free,68.55692531,Closed,True,48,East Sales,1,1,True,False,true
W_Case.15,W_Services_User.13,W_Account.35,W_Contact.35,2017-04-19 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Tablets,Medium,Compliant,Item Damaged,Silver,67.00507614,Closed,True,12,East Sales,1,1,False,False,false
W_Case.16,W_Services_User.10,W_Account.36,W_Contact.36,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Tablets,Medium,Compliant,Item Damaged,Silver,68.42639594,Closed,True,36,Central Sales,1,1,False,False,true
W_Case.17,W_Services_User.11,W_Account.37,W_Contact.37,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,TVs,Medium,Compliant,Item Damaged,Free,69.30021755,Closed,True,48,East Sales,1,25,False,False,false
W_Case.18,W_Services_User.4,W_Account.37,W_Contact.37,2017-04-19 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Video Games,High,Compliant,Item Damaged,Free,60.8484409,Closed,False,12,West Sales,1,25,False,True,false
W_Case.19,W_Services_User.13,W_Account.37,W_Contact.37,2017-02-18 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Video Games,Medium,Violation,Hardware Question,Free,60.10605511,Closed,True,72,East Sales,1,25,False,False,true
W_Case.20,W_Services_User.6,W_Account.37,W_Contact.37,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Video Games,Medium,Compliant,Item Damaged,Free,60.43237854,Closed,False,36,Central Sales,1,25,False,True,true
W_Case.21,W_Services_User.9,W_Account.37,W_Contact.37,2017-01-01 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Cables,High,Violation,Hardware Question,Silver,61.0413343,Closed,False,120,Central Sales,1,25,False,False,false
W_Case.22,W_Services_User.11,W_Account.43,W_Contact.43,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Cameras,Medium,Compliant,Late Delivery,Silver,73.27048586,Closed,False,48,East Sales,1,6,True,True,false
W_Case.23,W_Services_User.20,W_Account.43,W_Contact.43,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Cameras,Medium,Compliant,Late Delivery,Silver,73.70558376,Closed,False,48,South Sales,1,6,True,False,true
W_Case.24,W_Services_User.10,W_Account.43,W_Contact.43,2017-04-19 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Cameras,Medium,Compliant,Hardware Question,Silver,73.31399565,Closed,False,12,Central Sales,1,6,False,True,true
W_Case.25,W_Services_User.11,W_Account.45,W_Contact.45,2017-02-18 20:27:49,2017-05-01 20:27:49,Chat,Tier 3,Cameras,Low,Violation,Item Damaged,Silver,69.44162437,Closed,True,72,East Sales,1,1,True,False,true
